crscode,name,longitude,latitude,easting,northing,staffinglevel,cctv,ticketmachine,carspaces,busservices,category,frequency,entsexits,dateopened
BOW,BOW STREET,-4.03084,52.43922,262051,284301,unstaffed,true,true,69,true,F,31,0,14/02/2021
KTR,KINTORE,-2.350278,57.243611,378959,817044,unstaffed,true,true,168,true,F,58,0,15/10/2020
MRW,MERIDIAN WATER,-0.0493156,51.6110012,535168,192043,partTime,false,true,0,true,C,22,0,3/6/2019
HRE,HORDEN,-1.3073,54.7638,444566,541216,unstaffed,true,true,139,true,F,36,0,29/06/2020
WOP,WORCESTERSHIRE PARKWAY,-2.1609,52.1556,388994,250871,fullTime,true,true,483,true,E,68,0,23/02/2020
RRN,ROBROYSTON,-4.172291,55.887581,264151 ,668178,unstaffed,true,true,231,true,F,73,0,15/12/2019
WAW,WARRINGTON WEST,-2.638611,53.393611,357538,388750,fullTime,true,true,287,true,E,68,0,15/12/2019
SAJ,ST JOHNS (LONDON),-0.022719,51.469389,537435,176345,partTime,true,true,0,true,E,267,1000764,
MTA,MOUNTAIN ASH,-3.376341,51.681329,304940,198960,unstaffed,true,false,19,true,F2,62,100126,
DNS,DINAS POWYS,-3.218351,51.431663,315400,171000,unstaffed,true,true,0,true,F2,130,100154,
ROR,ROGERSTONE,-3.066612,51.595614,326214,189069,unstaffed,true,true,64,NA,F2,34,100266,6/2/2008
CNP,CONWAY PARK,-3.022671,53.393357,332090,388990,fullTime,true,false,0,true,E,239,1002716,
NVR,NAVIGATION ROAD,-2.343417,53.395374,377261,388782,unstaffed,true,true,0,true,F2,42,100396,
LGJ,LOUGHBOROUGH JUNCTION,-0.102182,51.466296,531925,175855,partTime,true,true,0,true,E,155,1004774,
BAA,BARNHAM,-0.639680,50.830905,495897,104367,fullTime,true,true,0,true,D,333,1005324,
CRF,CARFIN,-3.956254,55.807338,277490,658850,unstaffed,true,false,10,true,F,33,100602,
ORN,OLD ROAN,-2.951071,53.486893,336990,399330,fullTime,true,false,0,true,E,124,1006706,
AYP,ALBANY PARK,0.125737,51.435451,547855,172860,partTime,true,true,0,true,D,169,1006946,
HMP,HAMPTON (LONDON),-0.372119,51.415933,513300,169803,partTime,true,true,0,true,C2,81,1007302,
DNL,DUNLOP,-4.532389,55.711878,241000,649400,unstaffed,true,true,15,true,F,69,100798,
KWN,KILWINNING,-4.710018,55.655950,229600,643600,partTime,true,true,310,true,C,196,1008180,
LYM,LYMPSTONE VILLAGE,-3.431007,50.648291,298925,84156,unstaffed,true,false,20,true,F2,65,101022,
DZY,DANZEY,-1.820877,52.324811,412305,269650,unstaffed,false,false,0,true,F2,34,10112,
BRL,BARRHILL,-4.781781,55.097003,222600,581600,unstaffed,false,false,2,true,E,16,10124,
BEH,BEDWORTH,-1.467392,52.479295,436270,286952,unstaffed,true,true,0,true,F2,36,101306,
RCA,RISCA & PONTYMISTER,-3.092209,51.605845,324458,190233,unstaffed,true,true,94,NA,F2,34,101516,6/2/2008
ALB,ALBRIGHTON,-2.268900,52.637941,381900,304500,unstaffed,false,true,0,true,F2,43,101548,
ANS,AINSDALE,-3.042652,53.602031,331101,412224,fullTime,true,false,56,true,E,143,1016242,
MGM,METHERINGHAM,-0.391453,53.138878,507700,361400,unstaffed,true,false,25,true,F2,28,101878,
FXN,FOXTON,0.056308,52.119212,540885,248760,unstaffed,true,true,0,true,F2,75,101990,
HAS,HALESWORTH,1.505667,52.346815,638868,277868,unstaffed,true,true,15,NA,F1,33,102016,
LRD,LONDON ROAD (GUILDFORD),-0.565069,51.240648,500264,150030,partTime,true,true,113,NA,D,145,1021802,
BER,BEARLEY,-1.750255,52.244409,417149,260721,unstaffed,false,false,0,true,F2,11,1022,
NMT,NEEDHAM MARKET,1.055260,52.152588,609110,254880,unstaffed,false,true,22,NA,F2,40,102320,
FRW,FAIRWATER,-3.233839,51.493905,314440,177940,unstaffed,false,true,0,NA,F2,57,102376,
BXW,BOX HILL & WESTHUMBLE,-0.328490,51.254010,516744,151865,unstaffed,true,true,0,true,F2,107,102486,
RAU,RAUCEBY,-0.456606,52.985203,503710,344210,unstaffed,true,false,0,true,F2,7,10256,
RUA,RUABON,-3.043139,52.987133,330070,343820,unstaffed,true,false,0,true,F1,42,102628,
BNW,BOOTLE NEW STRAND,-2.994747,53.453387,334040,395642,fullTime,true,false,1,true,E,143,1026300,
ADL,ADLINGTON (LANCASHIRE),-2.603071,53.613243,360200,413135,partTime,false,false,6,true,F2,50,102646,
ASC,ASHCHURCH FOR TEWKESBURY,-2.108760,51.998902,392630,233390,unstaffed,false,false,55,true,F2,31,102688,
CAT,CATERHAM,-0.078307,51.282140,534120,155420,fullTime,true,true,0,true,D,137,1027318,
RUT,RUTHERGLEN,-4.212104,55.830591,261540,661920,partTime,true,true,0,true,E,214,1027812,
CRV,CRAVEN ARMS,-2.837422,52.442537,343175,283060,unstaffed,true,true,20,NA,F1,52,102816,
RTN,RENTON,-4.586126,55.970430,238700,678290,unstaffed,true,false,0,true,F,73,102938,
SWY,SWAY,-1.609996,50.784701,427590,98420,partTime,true,true,32,true,E,53,102978,
CHK,CHISWICK,-0.267835,51.481135,520380,177220,partTime,true,true,5,true,E,134,1031340,
NQY,NEWQUAY,-5.075654,50.415093,181590,61770,partTime,true,false,30,true,F1,12,103172,
UWL,UPPER WARLINGHAM,-0.077952,51.308510,534068,158353,partTime,true,true,0,true,D,88,1032050,
LEW,LEWISHAM,-0.014024,51.465690,538050,175950,fullTime,true,true,0,true,C2,552,10325546,
BKO,BROOKWOOD,-0.635748,51.303756,495200,156954,partTime,true,true,488,true,C2,150,1035048,
SAV,STRATFORD-UPON-AVON,-1.716288,52.194247,419490,255150,partTime,true,true,320,true,D,81,1035644,
BYS,BRAYSTONES,-3.541826,54.439358,300100,505978,unstaffed,true,false,0,true,F2,10,1036,
ERH,ERITH,0.175054,51.481669,551130,178100,partTime,true,true,0,true,E,214,1036532,
HDN,HARLESDEN,-0.257668,51.536287,520940,183370,fullTime,true,true,0,true,E,485,1037716,
BIW,BIGGLESWADE,-0.261187,52.084678,519241,244351,partTime,true,true,85,true,D,109,1038164,
PWY,PATCHWAY,-2.562689,51.525931,361060,180930,unstaffed,true,false,15,true,F1,39,104078,
LYE,LYE (WEST MIDLANDS),-2.115929,52.459920,392220,284670,partTime,true,true,15,true,E,78,104232,
ANZ,ANERLEY,-0.065886,51.412151,534605,169900,partTime,true,true,0,NA,E,223,1043346,
KPT,KILPATRICK,-4.453412,55.924700,246800,672900,unstaffed,true,false,0,true,F,71,104354,
BPS,BLACKPOOL SOUTH,-3.048938,53.798699,331008,434110,unstaffed,true,false,0,true,F1,36,104480,
FCN,FALCONWOOD,0.079305,51.459153,544553,175403,partTime,true,true,0,true,D,219,1045686,
CYN,CYNGHORDY,-3.748210,52.051496,280220,240677,unstaffed,false,false,0,NA,F2,8,1046,
TNP,TONYPANDY,-3.448869,51.619761,299790,192210,unstaffed,true,false,0,NA,F1,63,104742,
SNL,STONELEIGH,-0.248665,51.363399,522024,164159,partTime,true,true,0,true,C2,137,1047466,
CRD,CHESTER ROAD,-1.832479,52.535644,411460,293100,partTime,true,true,155,true,E,195,1048284,
PRA,PRESTWICK INTERNATIONAL AIRPORT,-4.614170,55.509034,235013,627024,unstaffed,true,false,910,NA,E,121,104880,
WAE,LONDON WATERLOO EAST,-0.108898,51.504074,531350,180044,fullTime,true,true,0,true,B,703,10506762,
TYW,TYWYN,-4.093559,52.585574,258260,300700,unstaffed,false,false,20,true,F1,18,105178,
ERD,ERDINGTON,-1.839509,52.528283,410985,292280,partTime,true,true,0,true,E,195,1051796,
LOB,LONGBRIDGE,-1.981291,52.396417,401370,277600,partTime,true,true,0,true,E,205,1053268,
FKC,FOLKESTONE CENTRAL,1.169482,51.082886,622084,136286,fullTime,true,true,70,true,C1,97,1055010,
EKL,EAST KILBRIDE,-4.180227,55.766002,263310,654670,partTime,true,true,287,true,E,79,1055414,
WRY,WRAYSBURY,-0.541922,51.457707,501400,174200,unstaffed,true,true,0,true,F2,73,105780,
FIL,FILEY,-0.293849,54.209857,511370,480690,unstaffed,true,false,15,true,F1,30,105844,
BEU,BEAULIEU ROAD,-1.504749,50.855047,434957,106287,unstaffed,false,false,0,true,F2,16,10586,
RDC,REDDITCH,-1.945250,52.306324,403830,267580,partTime,true,true,156,true,D,102,1059610,
RCE,REDCAR EAST,-1.052292,54.609251,461310,524200,unstaffed,true,false,0,true,F1,67,106250,
WFN,WATFORD NORTH,-0.389926,51.675702,511426,198664,unstaffed,false,true,0,true,F2,44,106268,
KET,KETTERING,-0.731562,52.393553,486411,278038,fullTime,true,true,500,true,C2,95,1062964,
LEL,LELANT,-5.436547,50.184123,154770,37220,unstaffed,true,false,10,true,F2,26,10632,
KNT,KENTON,-0.316981,51.581800,516710,188335,fullTime,true,true,0,true,E,364,1063332,
INP,INVERKIP,-4.872586,55.906103,220530,671840,unstaffed,true,false,8,true,F,38,106628,
KKD,KIRKDALE,-2.981117,53.440897,334926,394240,fullTime,true,false,2,true,E,247,1067562,
PAT,PATRICROFT,-2.358245,53.484776,376325,398733,unstaffed,true,false,0,true,F2,40,106996,
SAD,SANDWELL & DUDLEY,-2.011596,52.508658,399310,290085,fullTime,true,true,374,true,D,153,1070576,
EML,EAST MALLING,0.439280,51.285808,570200,156900,unstaffed,true,true,0,true,F2,53,107108,
WEH,WEST HAM,0.005431,51.528488,539210,182970,unstaffed,true,true,0,true,C1,391,10717126,
BCU,BROCKENHURST,-1.573531,50.816839,430140,102008,partTime,true,true,240,true,C2,209,1072642,
CBK,CRANBROOK (DEVON),-3.420415,50.750090,299891,95461,fullTime,true,true,135,NA,F,38,107350,13/12/2015
GDL,GODLEY,-2.054772,53.451702,396460,394995,unstaffed,false,true,0,true,F2,78,107450,
WAR,WARE (HERTS),-0.028781,51.807959,535998,213984,partTime,true,true,98,true,D,85,1074608,
WAN,WANBOROUGH,-0.667588,51.244522,493100,150326,unstaffed,true,true,10,true,F2,81,107476,
HRY,HARRINGAY GREEN LANES,-0.098144,51.577181,531885,188193,partTime,true,true,0,NA,E,140,1075256,
AFS,ASHFORD (SURREY),-0.468071,51.436506,506580,171947,partTime,true,true,92,true,C2,163,1076006,
STY,STRATFORD-UPON-AVON PARKWAY,-1.730842,52.206777,418490,256540,unstaffed,true,true,295,true,F,80,107638,19/5/2013
LZB,LAZONBY & KIRKOSWALD,-2.703209,54.750435,354835,539725,unstaffed,true,false,0,true,F2,15,10774,
AVN,AVONMOUTH,-2.699466,51.500360,351544,178168,unstaffed,false,false,6,true,F1,50,107752,
WEA,WEST EALING,-0.320133,51.513504,516666,180735,fullTime,true,true,0,true,E,213,1077698,
CRM,CRAMLINGTON,-1.598595,55.087766,425720,577110,unstaffed,true,false,50,true,F2,33,107800,
KKS,KIRK SANDALL,-1.074061,53.563877,461426,407872,unstaffed,true,false,0,true,F1,70,107844,
TMC,TEMPLECOMBE,-2.417725,51.001501,370785,122540,fullTime,true,true,68,true,E,51,108164,
OXP,OXFORD PARKWAY,-1.274491,51.804259,450121,211984,fullTime,true,true,830,true,D,83,1082834,26/10/2015
COB,COODEN BEACH,0.426859,50.833371,570992,106566,partTime,true,false,0,true,E,90,108300,
RHO,RHOSNEIGR,-4.506642,53.234836,232800,373800,unstaffed,true,false,0,true,F2,20,10844,
CTE,CHATELHERAULT,-4.004674,55.765217,274320,654250,unstaffed,true,false,100,true,F,70,108456,
CHE,CHEAM,-0.214167,51.355477,524447,163336,fullTime,true,true,0,true,D,208,1086296,
HYC,HYDE CENTRAL,-2.085250,53.451882,394436,395017,unstaffed,true,false,20,true,F1,57,108708,
SDL,SANDHILLS,-2.991490,53.429935,334220,393030,fullTime,true,false,0,true,E,391,1088132,
UHL,UPPER HOLLOWAY,-0.129513,51.563630,529750,186630,partTime,true,true,0,NA,E,140,1088442,
ENT,ENTWISTLE,-2.414545,53.655975,372700,417800,unstaffed,true,false,0,true,F2,39,10890,
GIR,GIRVAN,-4.848381,55.246311,219030,598380,partTime,true,false,18,true,E,38,109028,
HSB,HELSBY,-2.771207,53.275200,348670,375635,unstaffed,true,true,20,true,F1,85,109082,
SHO,SHOLING,-1.364915,50.896752,444760,111000,unstaffed,true,true,0,true,F2,37,109134,
BDW,BEDWYN,-1.598786,51.379638,428020,164586,unstaffed,true,true,25,true,F1,52,109320,
LTV,LICHFIELD TRENT VALLEY,-1.800229,52.686892,413601,309930,partTime,true,true,225,true,E,174,1093746,
RMB,ROMAN BRIDGE,-3.921648,53.044414,271270,351410,unstaffed,true,false,0,NA,F2,11,1094,
BOG,BOGNOR REGIS,-0.676178,50.786557,493415,99389,fullTime,true,true,0,true,D,144,1094562,
SDM,SHIELDMUIR,-3.956990,55.777489,277350,655530,unstaffed,true,false,0,true,F,80,109556,
HRS,HORSFORTH,-1.630228,53.847704,424425,439115,partTime,true,true,68,true,F1,98,1096574,
ADR,AIRDRIE,-3.982912,55.863977,276000,665200,fullTime,true,true,139,true,D,185,1098012,
WDU,WEST DULWICH,-0.091371,51.440716,532750,173030,partTime,true,true,0,true,E,166,1100218,
GRC,GREAT CHESTERFORD,0.193521,52.059809,550478,242429,partTime,true,true,0,true,E,56,110120,
EPD,EPSOM DOWNS,-0.238955,51.323686,522806,159759,unstaffed,true,true,0,true,F1,71,110374,
GCT,GREAT COATES,-0.130230,53.575752,523900,410420,unstaffed,true,false,0,true,F2,18,11042,
BHK,BUSH HILL PARK,-0.069221,51.641517,533700,195400,partTime,true,true,37,true,D,101,1104330,
MNG,MANNINGTREE,1.045240,51.949050,609374,232220,partTime,true,true,570,true,C2,171,1106204,
LNB,LLANBRADACH,-3.233048,51.603254,314700,190100,unstaffed,false,false,18,true,F2,107,110688,
BCN,BRANCHTON,-4.803548,55.940594,225000,675500,unstaffed,true,false,16,true,F,38,110698,
HOW,HOWDEN,-0.860463,53.764710,475215,430420,unstaffed,true,false,21,true,F1,55,110764,
POO,POOLE,-1.983317,50.719426,401274,91089,partTime,true,true,146,true,C1,110,1108066,
HPQ,HARWICH INTERNATIONAL,1.255124,51.947288,623803,232649,partTime,true,true,250,true,E,65,110944,
KDY,KIRKCALDY,-3.167028,56.112057,327524,691647,partTime,true,true,594,true,C,137,1109834,
PPL,PONTYPOOL & NEW INN,-3.014236,51.697962,330000,200400,unstaffed,true,false,0,true,F1,37,111188,
BCV,BRUCE GROVE,-0.069867,51.593957,533795,190110,partTime,true,true,0,true,E,173,1111886,
PTH,PERTH,-3.439698,56.392093,311220,723133,partTime,true,true,160,true,B,98,1112068,
MOT,MOTSPUR PARK,-0.239531,51.395195,522575,167710,partTime,true,true,0,true,C2,206,1112130,
HME,HAMBLE,-1.329162,50.871373,447300,108200,unstaffed,false,true,0,true,F2,37,111232,
HTY,HATTERSLEY,-2.040310,53.445281,397420,394280,partTime,false,false,0,true,E,78,111354,
MAR,MARGATE,1.372003,51.385427,634720,170550,fullTime,true,true,110,true,D,133,1113676,
TNA,THORNTON ABBEY,-0.323021,53.654301,510930,418840,unstaffed,true,false,0,true,F2,18,1114,
CDT,CALDICOT,-2.760573,51.584789,347400,187600,unstaffed,true,false,0,NA,F2,29,111438,
GLO,GLOSSOP,-1.949074,53.444468,403480,394190,fullTime,true,true,0,true,D,67,1114454,
CAA,COVENTRY ARENA,-1.494125,52.447731,434479,283428,unstaffed,true,true,0,NA,F,36,111462,18/1/2016
LEN,LENHAM,0.707759,51.234484,589130,151850,partTime,true,true,28,true,E,63,111694,
BME,BROOME,-2.885207,52.422770,339900,280900,unstaffed,false,false,0,NA,F2,9,1118,
BSP,BRONDESBURY PARK,-0.210128,51.540697,524225,183940,partTime,true,true,0,true,E,278,1121536,
SNR,SANDERSTEAD,-0.093678,51.348282,532857,162747,partTime,true,true,0,true,D,100,1123184,
CTF,CATFORD,-0.026317,51.444405,537260,173560,partTime,true,true,0,NA,D,151,1123848,
OPK,ORRELL PARK,-2.963315,53.461896,336140,396560,fullTime,true,true,0,true,E,124,1124446,
OUN,OULTON BROAD NORTH,1.715711,52.477759,652420,293140,unstaffed,true,true,4,true,F2,39,112600,
BRW,BRUNSWICK,-2.976077,53.383239,335173,387821,fullTime,true,false,35,true,E,141,1128162,
ABY,ASHBURYS,-2.194436,53.471636,387191,397229,unstaffed,false,false,0,true,F2,148,112846,
STM,ST MICHAELS,-2.952798,53.375598,336710,386950,fullTime,true,false,4,true,E,141,1128708,
SFO,STANFORD-LE-HOPE,0.423036,51.514362,568227,182276,partTime,true,true,66,true,D,99,1130456,
PMP,PLUMPTON,-0.060181,50.928661,536420,116148,partTime,true,true,0,true,E,42,113150,
STV,STEVENSTON,-4.750789,55.634277,226940,641290,unstaffed,true,false,0,true,F,74,113284,
ELE,ELMERS END,-0.049570,51.398491,535780,168411,partTime,true,true,108,true,D,154,1134028,
BLY,BLETCHLEY,-0.736320,51.995333,486859,233741,partTime,true,true,628,true,C2,208,1135190,
ANL,ANNIESLAND,-4.321957,55.889349,254880,668683,partTime,true,true,0,true,D,331,1136078,
KTH,KENT HOUSE,-0.045247,51.412214,536040,169945,partTime,true,true,12,true,D,166,1136432,
BRI,BRISTOL TEMPLE MEADS,-2.581315,51.449142,359700,172400,fullTime,true,true,374,true,A,363,11367652,
BCC,BECCLES,1.569493,52.458521,642600,290500,unstaffed,true,true,10,NA,F1,33,114302,
SAS,ST ANNES-ON-THE-SEA,-3.029099,53.753030,332241,429010,partTime,true,true,14,true,E,36,114328,
CBE,CANTERBURY EAST,1.075968,51.274266,614645,157285,fullTime,true,true,144,true,C1,72,1144046,
AIR,AIRBLES,-3.994192,55.782832,275034,656191,unstaffed,true,false,0,true,F,69,114442,
SMO,SOUTH MERTON,-0.205157,51.402991,524945,168635,unstaffed,true,true,0,true,F2,83,114538,
RGT,RUGELEY TOWN,-1.936840,52.754376,404360,317420,unstaffed,false,true,30,true,F2,67,114660,
PLD,PORTSLADE,-0.205336,50.835681,526471,105551,partTime,true,true,0,true,D,219,1146658,
PLK,PLOCKTON,-5.665999,57.333563,179450,832950,unstaffed,false,false,0,true,F,8,11482,
DMS,DORMANS,-0.004308,51.155790,539662,141508,partTime,true,true,0,true,E,99,114860,
MOG,MOORGATE,-0.088943,51.518490,532693,181683,unstaffed,true,true,0,true,E,349,11508936,
HEN,HENDON,-0.238674,51.580066,522140,188270,partTime,true,true,0,true,E,160,1152950,
TOK,THREE OAKS,0.613051,50.901114,583835,114545,unstaffed,true,true,0,true,F2,26,11534,
BPB,BLACKPOOL PLEASURE BEACH,-3.053876,53.787951,330665,432919,unstaffed,true,false,0,true,F1,36,115456,
GNH,GREENHITHE FOR BLUEWATER,0.280290,51.450370,558545,174842,fullTime,true,true,8,true,E,228,1155214,
STH,SHEPRETH,0.031319,52.114160,539190,248150,unstaffed,true,true,0,true,F2,75,115600,
ADD,ADDERLEY PARK,-1.855944,52.483084,409880,287250,partTime,true,true,0,true,E,41,115726,
DRM,DREM,-2.786048,56.005121,351080,679410,unstaffed,true,true,68,true,F,38,115844,
CYS,CATHAYS,-3.178683,51.488897,318260,177320,partTime,true,true,0,true,E,192,1159088,
YNW,YNYSWEN,-3.521597,51.664970,294860,197340,unstaffed,true,false,0,NA,F2,63,11600,
OCK,OCKENDON,0.290469,51.521990,559003,182828,partTime,true,true,36,true,E,94,1160354,
WSM,WESTON-SUPER-MARE,-2.971662,51.344318,332420,161030,fullTime,true,true,120,true,C2,89,1160960,
SWG,SWAYTHLING,-1.376409,50.941147,443910,115930,partTime,true,true,10,true,E,51,116106,
SCS,STARCROSS,-3.447704,50.627796,297700,81900,unstaffed,true,false,0,true,F2,45,116170,
HTW,HARTWOOD,-3.839322,55.811479,284830,659110,unstaffed,true,false,8,true,F,33,11628,
APG,ASPLEY GUISE,-0.632334,52.021235,493944,236751,unstaffed,false,false,0,true,F2,34,11636,
WFI,WESTERFIELD,1.165905,52.080981,617025,247243,unstaffed,false,true,0,true,F2,48,11642,
CLM,COLLINGHAM,-0.750394,53.144085,483680,361500,unstaffed,true,false,0,true,F2,52,116434,
ASG,ALSAGER,-2.299057,53.093002,380070,355130,unstaffed,true,false,12,true,F1,63,116446,
RMD,RICHMOND (LONDON),-0.301411,51.463147,518095,175165,fullTime,true,true,55,true,B,577,11666916,
LTT,LITTLE SUTTON,-2.943292,53.285513,337210,376920,unstaffed,true,true,0,true,F2,76,116676,
LPR,LONG PRESTON,-2.255592,54.016836,383350,457900,unstaffed,true,false,6,true,F2,26,11670,
STO,SOUTH TOTTENHAM,-0.072103,51.580371,533680,188595,partTime,true,true,0,NA,E,140,1168598,
SCY,SOUTH CROYDON,-0.093457,51.362963,532830,164380,fullTime,true,true,0,true,D,251,1168752,
EGT,EGTON,-0.761465,54.437480,480430,505380,unstaffed,true,false,0,true,F2,8,11698,
PIN,PINHOE,-3.469333,50.737783,296413,94160,unstaffed,true,true,0,true,F2,39,117096,
WEM,WEM,-2.718017,52.856408,351750,329010,unstaffed,true,true,35,true,F1,33,117218,
LOO,LOOE,-4.456164,50.359224,225390,53920,unstaffed,true,false,20,true,F1,24,117506,
AIN,AINTREE,-2.956280,53.473908,336625,397890,fullTime,true,false,104,true,E,124,1175920,
WDN,WALSDEN,-2.104464,53.696258,393200,422207,unstaffed,true,true,0,true,F2,50,117594,
HYS,HAYES (KENT),0.010557,51.376332,540030,166060,partTime,true,true,117,true,D,156,1176298,
ERI,ERIDGE,0.201432,51.088964,554271,134488,partTime,true,true,0,true,E,47,117648,
NHD,NUNHEAD,-0.052273,51.466826,535390,176005,partTime,true,true,0,true,E,226,1177414,
SAH,SALHOUSE,1.391416,52.675573,629370,314050,unstaffed,false,false,6,true,F2,24,11778,
NRN,NAIRN,-3.872000,57.580244,288160,856010,partTime,true,true,50,true,E,35,117780,
BND,BRANDON,0.624732,52.454006,578447,287245,unstaffed,true,true,5,NA,F2,35,117798,
LEM,LEYTON MIDLAND ROAD,-0.008051,51.569724,538150,187530,partTime,true,true,0,NA,E,140,1178122,
ESH,ESHER,-0.353338,51.379889,514696,165824,partTime,true,true,271,true,C2,89,1179918,
CNS,CONISBROUGH,-1.234331,53.489307,450900,399450,unstaffed,true,false,17,true,F2,70,118012,
FOD,FORD,-0.578410,50.829392,500215,104280,partTime,true,true,0,true,E,200,118168,
SJS,ST JAMES STREET (WALTHAMSTOW),-0.032918,51.580979,536393,188735,partTime,true,true,0,true,D,163,1183914,
CPK,CARPENDERS PARK,-0.385939,51.628349,511818,193404,fullTime,true,true,0,NA,E,144,1186250,
TRU,TRURO,-5.064812,50.263839,181667,44924,partTime,true,true,150,true,C1,120,1186886,
CGD,CRAIGENDORAN,-4.711244,55.994795,231000,681300,unstaffed,true,true,22,true,F,73,119170,
MFA,MORFA MAWDDACH,-4.032169,52.707126,262800,314100,unstaffed,false,false,20,true,F2,18,11920,
SOO,STROOD (KENT),0.500187,51.396547,574027,169356,fullTime,true,true,112,true,D,236,1194020,
CBG,CAMBRIDGE,0.137457,52.194066,546195,257245,fullTime,true,true,386,true,B,447,11983320,
LIN,LINLITHGOW,-3.595852,55.976451,300510,677090,partTime,true,true,96,true,E,157,1198560,
BBN,BLACKBURN,-2.479122,53.746514,368500,427900,fullTime,true,true,80,true,C1,183,1200186,
TFC,TELFORD CENTRAL,-2.440971,52.681106,370285,309359,partTime,true,true,182,true,C2,116,1200760,
AYH,AYLESHAM,1.209453,51.227253,624182,152457,partTime,true,true,0,true,E,56,120244,
PLC,PLUCKLEY,0.747396,51.156471,592221,143279,partTime,true,true,50,true,E,97,120346,
WNY,WHITE NOTLEY,0.595863,51.838910,578934,218775,unstaffed,false,true,0,true,F2,44,12046,
CDY,CARTSDYKE,-4.731591,55.942212,229500,675500,partTime,true,false,0,true,E,77,120508,
RIC,RICKMANSWORTH,-0.473282,51.640245,505745,194597,fullTime,true,true,0,true,C,73,1205320,
POL,POLSLOE BRIDGE,-3.501947,50.731279,294097,93483,unstaffed,true,false,0,true,F2,49,120678,
HGY,HARRINGAY,-0.105136,51.577357,531400,188200,partTime,true,true,0,true,D,226,1207140,
BIY,BINGLEY,-1.837322,53.848613,410800,439165,fullTime,true,true,22,true,D,169,1207142,
WLC,WALTHAM CROSS,-0.026558,51.685059,536521,200321,partTime,true,true,41,true,E,112,1208212,
CLK,CLOCK HOUSE,-0.040657,51.408585,536370,169550,partTime,true,true,0,true,D,153,1208986,
CIT,CHISLEHURST,0.057418,51.405555,543200,169400,partTime,true,true,148,true,D,165,1209164,
CML,CARMYLE,-4.158180,55.834335,264930,662230,unstaffed,true,false,0,true,F,70,121206,
ESD,ELMSTEAD WOODS,0.044274,51.417116,542250,170660,fullTime,true,true,64,true,D,161,1213160,
CKY,CROSSKEYS,-3.126170,51.620900,322132,191943,unstaffed,true,true,0,NA,F2,34,121350,7/6/2008
MEY,MERRYTON,-3.978253,55.748705,275925,652365,unstaffed,true,false,86,true,F,70,121356,
BFR,LONDON BLACKFRIARS,-0.103332,51.511808,531714,180914,fullTime,true,true,0,true,A,739,12139538,
PDW,PADDOCK WOOD,0.389149,51.182265,567079,145272,partTime,true,true,481,true,C2,147,1214166,
ROW,ROWLEY REGIS,-2.030875,52.477324,398000,286600,partTime,true,true,0,true,E,183,1215066,
SKI,SKIPTON,-2.025872,53.958685,398400,451400,fullTime,true,true,100,true,D,173,1217432,
BVD,BELVEDERE,0.152286,51.492117,549515,179215,partTime,true,true,0,true,E,214,1219758,
BYL,BARRY LINKS,-2.745442,56.493147,354200,733700,unstaffed,false,false,0,true,F,4,122,
DNO,DUNROBIN CASTLE,-3.948921,57.985532,284860,901250,unstaffed,false,false,0,true,F,6,1224,
GSY,GUISELEY,-1.715080,53.875933,418830,442230,partTime,true,true,20,true,D,137,1224376,
BGA,BRUNDALL GARDENS,1.418416,52.623442,631470,308340,unstaffed,true,false,0,NA,F2,39,12248,
GTO,GORTON,-2.166209,53.469072,389064,396939,partTime,false,false,0,true,E,69,122648,
SFR,SHALFORD (SURREY),-0.566804,51.214321,500200,147100,unstaffed,true,true,30,true,F2,40,122662,
MZH,MAZE HILL,0.002914,51.482623,539175,177865,partTime,true,true,0,true,D,212,1227510,
BRX,BRIXTON,-0.114183,51.463297,531100,175500,partTime,true,true,0,true,E,155,1227746,
WCL,WEST CALDER,-3.567017,55.853802,302000,663400,unstaffed,true,true,25,true,F,59,122780,
RDT,RADLETT,-0.317244,51.685186,516427,199832,fullTime,true,true,0,true,D,247,1230892,
SNI,SNAITH,-1.028460,53.693112,464250,422290,unstaffed,true,false,0,true,F2,3,1232,
ADV,ANDOVER,-1.492233,51.211545,435565,145938,partTime,true,true,495,true,C1,84,1232336,
NTA,NEWTON ABBOT,-3.599167,50.529584,286752,71200,fullTime,true,true,230,true,C1,154,1234672,
ACT,ASCOT (BERKS),-0.675833,51.406242,492200,168300,partTime,true,true,215,true,C2,173,1234810,
INK,INVERKEITHING,-3.396187,56.034676,313100,683300,partTime,true,true,427,true,C,290,1235204,
AYS,AYLESBURY,-0.815096,51.813889,481779,213470,partTime,true,true,301,true,D,138,1235236,
WLD,WEST ST LEONARDS,0.539935,50.853152,578878,109033,fullTime,true,true,20,true,E,59,123528,
MRD,MORCHARD ROAD,-3.776366,50.831897,275000,105100,unstaffed,true,false,0,true,F1,27,12378,
ADK,ARDWICK,-2.213884,53.471342,385900,397200,unstaffed,true,false,0,true,F2,4,1238,
GMT,GROSMONT,-0.724966,54.436112,482800,505270,unstaffed,true,false,88,true,F2,8,12390,
GBG,GOREBRIDGE,-3.046515,55.840272,334560,661279,unstaffed,true,true,73,true,F,66,123930,6/9/2015
LBR,LLANBEDR,-4.110197,52.820849,257900,326900,unstaffed,false,false,0,true,F2,16,12398,
HFD,HEREFORD,-2.708210,52.061161,351543,240546,partTime,true,true,175,NA,C1,109,1241788,
