crscode,name,longitude,latitude,easting,northing,staffinglevel,cctv,ticketmachine,carspaces,busservices,category,frequency,entsexits,dateopened
LHW,LOCHWINNOCH,-4.616075,55.787154,236060,657970,unstaffed,true,true,17,true,F,66,176652,
SMA,SMALL HEATH,-1.859393,52.463760,409650,285100,partTime,true,true,0,true,E,90,176792,
LUX,LUXULYAN,-4.747384,50.390034,204805,58070,unstaffed,true,false,10,true,F2,11,1770,
HID,HALL-I'-TH'-WOOD,-2.413110,53.597421,372757,411285,unstaffed,true,false,0,true,F2,65,177182,
SLV,SILVER STREET,-0.067240,51.614687,533916,192420,partTime,true,true,0,true,D,173,1773414,
OBN,OBAN,-5.473931,56.412485,185795,729888,partTime,true,false,30,true,D,36,177522,
SUT,SUTTON COLDFIELD,-1.824844,52.564940,411970,296360,partTime,true,true,320,true,D,198,1775522,
DVC,DOVERCOURT,1.280611,51.938737,625597,231777,partTime,true,true,8,true,E,51,177752,
BIT,BICESTER VILLAGE,-1.148764,51.893022,458675,221950,unstaffed,true,true,223,true,F1,85,1777700,26/10/2015
BKM,BERKHAMSTED,-0.562013,51.763132,499336,208139,partTime,true,true,395,true,C2,184,1778774,
BSU,BRUNSTANE,-3.100986,55.942509,331330,672710,unstaffed,true,true,0,true,F,66,178068,
DEP,DEPTFORD,-0.026270,51.478846,537160,177390,partTime,true,true,0,true,E,212,1785086,
CAS,CASTLETON (MANCHESTER),-2.178234,53.591845,388300,410600,unstaffed,true,true,0,true,F1,70,178582,
HUN,HUNTINGDON,-0.192068,52.328647,523300,271600,partTime,true,true,952,true,C2,105,1786548,
COP,COPPLESTONE,-3.751572,50.814465,276700,103120,unstaffed,false,false,0,true,F2,28,17868,
SMY,ST MARY CRAY,0.106384,51.394748,546640,168295,fullTime,true,true,31,true,C2,192,1786944,
LND,LONGNIDDRY,-2.888343,55.976483,344660,676300,unstaffed,true,true,73,true,F,38,178730,
WCK,WICK,-3.096859,58.441567,336065,950885,partTime,false,false,12,true,E,8,17890,
NHE,NEW HYTHE,0.454930,51.313001,571190,159960,unstaffed,true,true,0,true,F2,68,178960,
DBD,DENBY DALE,-1.663210,53.572629,422400,408500,unstaffed,true,true,10,true,F1,36,179400,
MHS,MEADOWHALL,-1.412851,53.417465,439121,391345,partTime,true,true,307,true,C2,322,1797644,
CPU,CAPENHURST,-2.942285,53.260172,337240,374100,unstaffed,true,true,25,true,F2,79,179960,
LCC,LOCHLUICHART,-4.809049,57.621756,232335,862562,unstaffed,false,false,0,true,F,8,180,
LLM,LLANGAMMARCH,-3.554816,52.114297,293630,247360,unstaffed,false,false,4,NA,F2,8,1802,
SWD,SWINDERBY,-0.702679,53.169554,486820,364390,unstaffed,true,false,0,true,F2,24,18026,
BUB,BURNLEY BARRACKS,-2.258086,53.790877,383095,432760,unstaffed,true,false,0,true,F2,38,18028,
MTL,MORTLAKE,-0.267106,51.468085,520465,175770,partTime,true,true,13,true,C2,143,1803324,
KML,KEMSLEY,0.735358,51.362439,590526,166148,unstaffed,true,true,0,true,F2,79,180394,
SQU,SQUIRES GATE,-3.050302,53.777331,330883,431734,unstaffed,true,false,0,true,F2,36,18054,
WHL,WHITE HART LANE,-0.070914,51.605035,533690,191340,partTime,true,true,0,true,E,173,1805874,
DST,DUKE STREET,-4.213047,55.858435,261580,665020,unstaffed,true,true,0,true,F,72,181218,
KKB,KIRKBY-IN-ASHFIELD,-1.253057,53.100097,450110,356138,unstaffed,true,true,0,true,F2,57,181416,
KGM,KINGHAM,-1.628786,51.902248,425637,222699,partTime,true,false,140,true,E,40,181790,
FZP,FURZE PLATT,-0.728473,51.533019,488294,182334,partTime,true,false,0,true,E,52,182646,
ROB,ROBY,-2.855933,53.410040,343200,390700,fullTime,true,false,0,true,E,137,182748,
WLP,WELSHPOOL,-3.139871,52.657493,322995,307251,unstaffed,false,true,60,true,F1,33,182956,
RGL,RUGELEY TRENT VALLEY,-1.929851,52.769654,404830,319120,unstaffed,true,true,24,true,F1,102,183008,
WRU,WEST RUISLIP,-0.437768,51.569757,508370,186810,partTime,true,true,136,true,F1,57,183010,
SRI,SPRING ROAD,-1.837389,52.443414,411150,282840,partTime,false,true,0,true,E,102,183240,
RLG,RAYLEIGH,0.599983,51.589292,580207,191029,partTime,true,true,447,true,C2,139,1832722,
BUG,BURGESS HILL,-0.127413,50.953654,531625,118805,partTime,true,true,0,true,C2,223,1838748,
SHL,SHAWLANDS,-4.292343,55.829211,256510,661930,unstaffed,true,true,0,true,F,78,184028,
HSL,HASLEMERE,-0.719163,51.088646,489802,132928,partTime,true,true,408,true,C2,153,1840386,
LBZ,LEIGHTON BUZZARD,-0.677007,51.916304,491091,225024,partTime,true,true,667,true,C2,178,1841772,
HFX,HALIFAX,-1.853575,53.720959,409760,424960,partTime,true,true,32,true,C2,156,1842644,
AAP,ALEXANDRA PALACE,-0.120235,51.597922,530295,190460,partTime,true,true,0,true,D,353,1843648,
NWT,NEWTOWN (POWYS),-3.311392,52.512312,311100,291300,partTime,true,false,20,true,E,33,184576,
WIM,WIMBLEDON,-0.206369,51.421274,524811,170666,fullTime,true,true,40,true,B,681,18497284,
FST,LONDON FENCHURCH STREET,-0.078897,51.511644,533410,180940,fullTime,true,true,0,true,A,405,18507676,
PNY,PEN-Y-BONT (MID WALES),-3.321931,52.273941,309900,264800,unstaffed,false,false,4,NA,F1,9,1854,
LET,LETCHWORTH GARDEN CITY,-0.229264,51.979962,521712,232758,fullTime,true,true,0,true,D,200,1856558,
QBR,QUEENBOROUGH,0.749666,51.415635,591300,172100,partTime,true,true,4,true,E,79,185690,
HNG,HENGOED,-3.224128,51.647407,315400,195000,unstaffed,true,false,55,NA,F2,103,185782,
PSW,POLESWORTH,-1.610540,52.625831,426460,303190,unstaffed,false,false,0,true,F2,1,186,
LGW,LANGWATHBY,-2.663684,54.694356,357320,533460,unstaffed,true,false,30,true,F2,15,18630,
GRH,GARTCOSH,-4.079494,55.885659,270029,667790,unstaffed,true,true,97,true,F,73,186666,
SOG,STONEGATE,0.363868,51.019966,565892,127169,partTime,true,true,145,true,E,56,186888,
PLT,PONTLOTTYN,-3.278956,51.746630,311800,206100,unstaffed,false,false,10,true,F2,36,18700,
SFN,SHIFNAL,-2.371840,52.666070,374950,307660,unstaffed,true,true,80,true,F2,66,187162,
CPT,CLAPTON,-0.057025,51.561642,534780,186540,partTime,true,true,0,true,D,163,1871836,
SPO,SPONDON,-1.411094,52.912218,439700,335139,unstaffed,true,false,0,true,F2,20,18726,
EYN,EYNSFORD,0.204393,51.362719,553565,164934,partTime,true,true,15,true,E,76,187308,
FLX,FELIXSTOWE,1.350435,51.967071,630250,235146,unstaffed,true,true,0,NA,F1,39,187454,
GMG,GARTH (BRIDGEND COUNTY),-3.641450,51.596454,286400,189900,unstaffed,false,false,0,NA,F2,33,18782,
MST,MAESTEG,-3.654645,51.609937,285520,191420,unstaffed,true,true,12,true,F1,33,187836,
NWE,NEWPORT (ESSEX),0.215141,51.979868,552231,233584,partTime,true,true,39,true,E,56,188094,
FLE,FLEET,-0.830806,51.290633,481626,155260,partTime,true,true,411,true,C2,119,1884432,
CEY,CONONLEY,-2.012068,53.917569,399305,446825,unstaffed,true,false,16,true,F1,139,188702,
ACC,ACTON CENTRAL,-0.262971,51.508715,520645,180295,partTime,true,true,0,NA,D,142,1887162,
HCT,HUNCOAT,-2.347561,53.771776,377190,430660,unstaffed,true,false,0,true,F2,37,18878,
BSJ,BEDFORD ST JOHNS,-0.467501,52.129476,505000,249015,unstaffed,false,false,120,true,F2,34,189276,
MOR,MORTIMER,-1.035510,51.372077,467233,164110,partTime,true,false,60,true,E,76,189316,
LEA,LEAGRAVE,-0.458503,51.905157,506145,224080,partTime,true,true,0,true,D,176,1894608,
MNE,MANEA,0.177694,52.497837,547928,291110,unstaffed,true,true,0,NA,F2,20,18950,
MSW,MANSFIELD WOODHOUSE,-1.201848,53.163561,453460,363235,unstaffed,true,true,40,true,F2,58,189524,
HIR,HORTON-IN-RIBBLESDALE,-2.302033,54.149384,380370,472660,unstaffed,true,false,10,true,F2,16,18968,
DWW,DAWLISH WARREN,-3.443561,50.598709,297930,78660,unstaffed,false,false,5,true,F2,52,189756,
NAR,NARBERTH,-4.727175,51.799367,212050,214710,unstaffed,false,false,0,true,F2,18,18992,
ROE,ROTHERHITHE,-0.052049,51.500815,535305,179785,unstaffed,true,true,0,NA,C,584,1899734,
GSW,GARSWOOD,-2.672135,53.488519,355500,399300,partTime,true,false,0,true,E,73,190210,
CLP,CLAPHAM HIGH STREET,-0.132522,51.465479,529820,175710,unstaffed,true,true,0,true,F1,146,1908680,
HWN,HARLOW TOWN,0.095132,51.781069,544626,211232,fullTime,true,true,701,true,C1,233,1913192,
CHW,CHALKWELL,0.670593,51.538717,585303,185582,partTime,true,true,0,true,C2,252,1913550,
CGW,CAERGWRLE,-3.032913,53.107862,330950,357240,unstaffed,false,false,0,true,F2,30,19140,
PNM,PENMERE,-5.083192,50.150329,179835,32360,unstaffed,true,false,5,true,F1,58,191414,
CLL,COLLINGTON,0.457861,50.839287,573153,107296,unstaffed,true,true,0,true,F1,90,191418,
CDU,CAM & DURSLEY,-2.359083,51.717617,375290,202160,unstaffed,false,true,90,true,F2,41,191426,
BXB,BROXBOURNE,-0.011087,51.746909,537403,207228,fullTime,true,true,565,true,C2,247,1915332,
DGL,DINGLE ROAD,-3.180590,51.440052,318040,171890,unstaffed,true,true,0,NA,F2,115,191552,
BAV,BARROW HAVEN,-0.392955,53.697419,506200,423530,unstaffed,true,false,0,true,F2,18,1916,
RHY,RHYMNEY,-3.289298,51.758836,311110,207470,unstaffed,true,false,20,true,F1,36,191726,
GNT,GUNTON,1.349116,52.866345,625523,335128,unstaffed,true,true,6,NA,F2,25,19188,
MEX,MEXBOROUGH,-1.288561,53.490991,447300,399600,fullTime,true,true,43,true,D,70,192350,
RHD,RIBBLEHEAD,-2.360856,54.205843,376560,478960,unstaffed,true,false,25,true,F2,16,19260,
PAL,PALMERS GREEN,-0.110437,51.618313,530915,192745,partTime,true,true,60,true,C2,198,1926572,
SHC,STREETHOUSE,-1.400118,53.676153,439725,420132,unstaffed,true,true,15,true,F2,35,19266,
LLL,LLANDEILO,-3.986890,51.885343,263350,222620,unstaffed,false,false,11,true,F1,10,19280,
WHN,WHISTON,-2.796432,53.413867,347160,391080,fullTime,true,true,0,true,E,66,192828,
SPA,SPALDING,-0.156884,52.788805,524390,322840,partTime,true,true,45,true,E,26,193034,
RAI,RAINHAM (KENT),0.611337,51.366304,581878,166263,partTime,true,true,233,true,C2,269,1934710,
LAG,LANGWITH-WHALEY THORNS,-1.209344,53.231839,452875,370825,unstaffed,true,true,10,true,F2,37,19354,
SCR,ST COLUMB ROAD,-4.940755,50.398705,191100,59560,unstaffed,true,false,10,true,F2,11,1936,
WNW,WEST NORWOOD,-0.103830,51.431746,531910,172010,fullTime,true,true,0,true,D,221,1938126,
EXG,EXHIBITION CENTRE (GLASGOW),-4.283589,55.861549,257177,665510,partTime,true,true,0,true,E,212,1943180,
CHD,CHESTERFIELD,-1.420116,53.238219,438800,371400,fullTime,true,true,283,true,C1,179,1944524,
CKT,CROOKSTON,-4.364675,55.842312,252030,663540,unstaffed,true,true,0,true,F,69,194566,
PAR,PAR,-4.704675,50.355325,207700,54100,partTime,true,true,25,true,E,71,194644,
WKG,WORKINGTON,-3.558500,54.645094,299526,528892,fullTime,true,false,6,true,E,39,194648,
DRO,DRONFIELD,-1.468779,53.301367,435500,378400,unstaffed,true,true,50,true,F2,43,195180,
MDN,MAIDEN NEWTON,-2.569430,50.780005,359950,97980,unstaffed,true,false,10,true,F1,18,19536,
SOE,SOUTHEND EAST,0.731815,51.538971,589547,185767,partTime,true,true,207,true,D,190,1955250,
MIL,MILL HILL BROADWAY,-0.249240,51.613091,521320,191925,partTime,true,true,0,true,D,247,1955372,
SSM,STOCKSMOOR,-1.723248,53.594086,418415,410870,unstaffed,true,true,6,true,F2,36,19556,
FYS,FERRYSIDE,-4.369458,51.768365,236600,210400,unstaffed,false,false,0,true,F2,34,19572,
MCM,MORECAMBE,-2.869308,54.070317,343210,464170,partTime,true,false,28,true,F1,52,195956,
AMF,AMMANFORD,-3.996735,51.795973,262400,212700,unstaffed,false,false,0,NA,F2,10,19596,
EBK,EASTBROOK,-3.206137,51.437634,316260,171650,unstaffed,true,true,31,true,F2,130,196020,
MLM,MILLOM,-3.271084,54.210822,317200,480200,partTime,true,false,0,true,F1,39,196364,
LCN,LINCOLN,-0.539922,53.226086,497571,370888,partTime,true,true,138,true,C1,126,1963938,
HIA,HAMPTON-IN-ARDEN,-1.699931,52.429031,420500,281270,partTime,true,true,68,true,E,102,196678,
CPM,CHIPPENHAM,-2.115394,51.462486,392080,173730,partTime,true,true,640,true,C1,84,1972350,
BDB,BROADBOTTOM,-2.016521,53.440972,399000,393800,partTime,true,false,53,true,E,78,197316,
RIA,RHOOSE CARDIFF INTERNATIONAL AIRPORT,-3.349384,51.387065,306200,166200,unstaffed,true,true,66,NA,F1,75,197434,
SPK,SUTTON PARKWAY,-1.245568,53.114091,450595,357700,unstaffed,true,true,0,true,F1,57,197540,
MYT,MYTHOLMROYD,-1.981426,53.729001,401323,425845,unstaffed,true,true,0,true,F1,105,197640,
HCH,HOLMES CHAPEL,-2.351140,53.198929,376640,366930,partTime,false,false,31,true,E,67,197712,
WLT,WALLINGTON,-0.150833,51.360385,528843,163991,partTime,true,true,0,true,C2,227,1977902,
SMB,SMITHY BRIDGE,-2.113502,53.633252,392592,415198,unstaffed,true,true,20,true,F1,81,197834,
BRM,BARMOUTH,-4.056596,52.722889,261200,315900,partTime,true,false,0,true,E,18,197922,
SAL,SALISBURY,-1.806387,51.070547,413662,130153,fullTime,true,true,287,true,C1,168,1979880,
FGW,FISHGUARD & GOODWICK,-4.994838,52.004112,194535,238200,unstaffed,false,true,23,NA,F,14,19838,14/5/2012
SAM,SALTMARSHE,-0.809486,53.721923,478655,425715,unstaffed,true,false,10,true,F2,15,1986,
WMG,WELHAM GREEN,-0.210692,51.736350,523653,205697,partTime,true,true,35,true,E,97,198924,
DOR,DORE & TOTLEY,-1.515298,53.327633,432380,381300,unstaffed,true,true,120,true,F2,47,198948,
HKN,HUCKNALL,-1.195811,53.038282,454020,349303,unstaffed,true,true,125,true,F2,57,198968,
AMR,AMERSHAM,-0.607596,51.674204,496379,198188,fullTime,true,true,0,true,C,89,1991780,
CLS,CHESTER-LE-STREET,-1.578015,54.854593,427190,551170,partTime,true,false,13,true,F1,28,199260,
BAK,BATTERSEA PARK,-0.147533,51.476958,528745,176960,fullTime,true,true,0,true,D,291,1993298,
BDQ,BRADFORD FORSTER SQUARE,-1.752962,53.796923,416370,433430,partTime,true,true,50,true,C2,189,1994854,
ALV,ALVECHURCH,-1.967660,52.346069,402300,272000,unstaffed,true,true,0,true,F1,102,199862,
